name,service,suburb,address,phone,website,gbp_url,rating,review_count,has_website,has_ssl,has_schema,has_title,has_meta_desc,has_h1,word_count,mobile_ok,page_speed_score,opportunity_score,priority,status,scraped_at,source,signals
OneFlow Plumbing,plumber,Frankston,,"
+61 404 998 904",,https://www.google.com/maps/place/OneFlow+Plumbing/data=!4m7!3m6!1s0x8040ab4ebe7eba5b:0x502ff9bdd8b6375c!8m2!3d-38.0071308!4d145.0531353!16s%2Fg%2F11t4_7y8fb!19sChIJW7p-vk6rQIARXDe22L35L1A?authuser=0&hl=en&rclk=1,5.0,85,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:20:30.743817,google_maps,"{""no_website"": true}"
Below Plumbing,plumber,Frankston,,"
+61 477 988 715",,https://www.google.com/maps/place/Below+Plumbing/data=!4m7!3m6!1s0x6b029b4c9ef6b61d:0x67080c2dcada3274!8m2!3d-38.1194299!4d145.1603343!16s%2Fg%2F11wg82s49g!19sChIJHbb2nkybAmsRdDLayi0MCGc?authuser=0&hl=en&rclk=1,5.0,27,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:20:30.743824,google_maps,"{""no_website"": true}"
Efficient Pure Plumbing Heating & Cooling,plumber,Dandenong,,"
+61 3 9792 3261",,https://www.google.com/maps/place/Efficient+Pure+Plumbing+Heating+%26+Cooling/data=!4m7!3m6!1s0x6ad6396142afd4a1:0x2c497c6525a50d8a!8m2!3d-38.0097025!4d145.2128048!16s%2Fg%2F1tdd5dbg!19sChIJodSvQmE51moRig2lJWV8SSw?authuser=0&hl=en&rclk=1,5.0,1,False,False,False,False,False,False,0,False,0,30,Cold,New,2026-07-06T13:22:56.053053,google_maps,"{""no_website"": true, ""low_reviews"": true}"
ApexDrain Plumber of Dandenong,plumber,Dandenong,,"
+61 452 478 761",,https://www.google.com/maps/place/ApexDrain+Plumber+of+Dandenong/data=!4m7!3m6!1s0x4a4cf928838b4551:0x52ab817c90da2fea!8m2!3d-37.9915743!4d145.2182494!16s%2Fg%2F11nhq3dv_s!19sChIJUUWLgyj5TEoR6i_akHyBq1I?authuser=0&hl=en&rclk=1,0.0,0,False,False,False,False,False,False,0,False,0,30,Cold,New,2026-07-06T13:22:56.053073,google_maps,"{""no_website"": true, ""low_reviews"": true}"
Grade A Plumber Dandenong,plumber,Dandenong,,"
+61 3 4328 3710",,https://www.google.com/maps/place/Grade+A+Plumber+Dandenong/data=!4m7!3m6!1s0x6ad615c1d5aa828b:0x60a697b28c93dabf!8m2!3d-37.9813604!4d145.2111107!16s%2Fg%2F11zcnq9r3l!19sChIJi4Kq1cEV1moRv9qTjLKXpmA?authuser=0&hl=en&rclk=1,0.0,0,False,False,False,False,False,False,0,False,0,30,Cold,New,2026-07-06T13:22:56.053092,google_maps,"{""no_website"": true, ""low_reviews"": true}"
Blocked Drain Plumber Melbourne,plumber,Dandenong,,"
+61 480 813 378",,https://www.google.com/maps/place/Blocked+Drain+Plumber+Melbourne/data=!4m7!3m6!1s0x6003b8b3b0f104f5:0xc5190c6934a8b85e!8m2!3d-37.9725665!4d145.0531353!16s%2Fg%2F11z6q8s52v!19sChIJ9QTxsLO4A2ARXrioNGkMGcU?authuser=0&hl=en&rclk=1,5.0,25,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:22:56.052925,google_maps,"{""no_website"": true}"
Flow Now Plumbing,plumber,Dandenong,,"
+61 410 924 363",,https://www.google.com/maps/place/Flow+Now+Plumbing/data=!4m7!3m6!1s0x24bfbb1c9160aed1:0x70ad1cae8afb8a77!8m2!3d-37.985596!4d145.2138904!16s%2Fg%2F11w95m2cyx!19sChIJ0a5gkRy7vyQRd4r7iq4crXA?authuser=0&hl=en&rclk=1,5.0,28,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:22:56.052976,google_maps,"{""no_website"": true}"
Around Town Plumbing,plumber,Dandenong,,"
+61 3 7023 5494",,https://www.google.com/maps/place/Around+Town+Plumbing/data=!4m7!3m6!1s0x6ad613a72bd03edf:0x50b8585958b29958!8m2!3d-37.9960604!4d145.1955993!16s%2Fg%2F11pcnwrsvl!19sChIJ3z7QK6cT1moRWJmyWFlYuFA?authuser=0&hl=en&rclk=1,5.0,42,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:22:56.052992,google_maps,"{""no_website"": true}"
Plumber Now,plumber,Dandenong,,"
+61 1800 995 994",,https://www.google.com/maps/place/Plumber+Now/data=!4m7!3m6!1s0x6ad613ba4986736d:0x77c534c0f484767a!8m2!3d-37.9987554!4d145.1825602!16s%2Fg%2F11h43ng5l1!19sChIJbXOGSboT1moRenaE9MA0xXc?authuser=0&hl=en&rclk=1,4.8,104,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:22:56.053012,google_maps,"{""no_website"": true}"
Star plumbing group,plumber,Dandenong,,"
+61 411 698 458",,https://www.google.com/maps/place/Star+plumbing+group/data=!4m7!3m6!1s0xa4b8c7309fa420c3:0x9d832ac6e9869f72!8m2!3d-37.9725665!4d145.0531353!16s%2Fg%2F11yr_t27qq!19sChIJwyCknzDHuKQRcp-G6cYqg50?authuser=0&hl=en&rclk=1,5.0,28,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:22:56.053021,google_maps,"{""no_website"": true}"
Clearwater Plumbing Services,plumber,Dandenong,,"
+61 417 762 124",,https://www.google.com/maps/place/Clearwater+Plumbing+Services/data=!4m7!3m6!1s0x6ad613ae6678541b:0xbef467b0aa8cd5ae!8m2!3d-38.0139786!4d145.2209194!16s%2Fg%2F11sqhz1nj4!19sChIJG1R4Zq4T1moRrtWMqrBn9L4?authuser=0&hl=en&rclk=1,4.7,140,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:22:56.053046,google_maps,"{""no_website"": true}"
Vic Gas & Plumbing,plumber,Dandenong,,"
+61 403 065 069",,https://www.google.com/maps/place/Vic+Gas+%26+Plumbing/data=!4m7!3m6!1s0x6ad6159bb758e8f5:0x728bd5284a4a6449!8m2!3d-36.5699212!4d145.4691789!16s%2Fg%2F11pg08163r!19sChIJ9ehYt5sV1moRSWRKSijVi3I?authuser=0&hl=en&rclk=1,5.0,72,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:22:56.053080,google_maps,"{""no_website"": true}"
MT Plumbing & Co,plumber,Dandenong,,"
+61 437 042 843",,https://www.google.com/maps/place/MT+Plumbing+%26+Co/data=!4m7!3m6!1s0x6ad61739ab24e3f1:0xcecae7a414dbf18!8m2!3d-37.9696799!4d145.2352485!16s%2Fg%2F11hyt6yhqn!19sChIJ8eMkqzkX1moRGL9NQXqu7Aw?authuser=0&hl=en&rclk=1,4.9,72,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:22:56.053086,google_maps,"{""no_website"": true}"
Waterways Plumbing,plumber,Dandenong,,"
+61 1300 052 399",,https://www.google.com/maps/place/Waterways+Plumbing/data=!4m7!3m6!1s0xa4620be65e8f4d6b:0x6e04a85f12e713de!8m2!3d-38.1647778!4d145.0409331!16s%2Fg%2F11xkxggtxw!19sChIJa02PXuYLYqQR3hPnEl-oBG4?authuser=0&hl=en&rclk=1,5.0,40,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:22:56.053100,google_maps,"{""no_website"": true}"
Service Today Plumber Werribee,plumber,Werribee,,"
+61 489 994 782",,https://www.google.com/maps/place/Service+Today+Plumber+Werribee/data=!4m7!3m6!1s0x8ebba387a998e39d:0x602a78c0b62c22e7!8m2!3d-37.8955838!4d144.6255276!16s%2Fg%2F11ysg6dscr!19sChIJneOYqYeju44R5yIstsB4KmA?authuser=0&hl=en&rclk=1,5.0,2,False,False,False,False,False,False,0,False,0,30,Cold,New,2026-07-06T13:23:57.346276,google_maps,"{""no_website"": true, ""low_reviews"": true}"
ApexDrain Plumber of Werribee,plumber,Werribee,,"
+61 452 478 761",,https://www.google.com/maps/place/ApexDrain+Plumber+of+Werribee/data=!4m7!3m6!1s0x6ad68502c858a877:0x7b9115fd239534d4!8m2!3d-37.9017562!4d144.6600219!16s%2Fg%2F11nhm77vy6!19sChIJd6hYyAKF1moR1DSVI_0VkXs?authuser=0&hl=en&rclk=1,0.0,0,False,False,False,False,False,False,0,False,0,30,Cold,New,2026-07-06T13:23:57.346321,google_maps,"{""no_website"": true, ""low_reviews"": true}"
Service Today Plumber Wyndham Vale,plumber,Werribee,,"
+61 427 339 235",,https://www.google.com/maps/place/Service+Today+Plumber+Wyndham+Vale/data=!4m7!3m6!1s0x6b22e2194654ff13:0x719ac4b4b913e7b2!8m2!3d-37.8589386!4d144.6064671!16s%2Fg%2F11nbm_lw_c!19sChIJE_9URhniImsRsucTubTEmnE?authuser=0&hl=en&rclk=1,5.0,1,False,False,False,False,False,False,0,False,0,30,Cold,New,2026-07-06T13:23:57.346339,google_maps,"{""no_website"": true, ""low_reviews"": true}"
Service Today Plumber Hoppers Crossing,plumber,Werribee,,"
+61 488 814 106",,https://www.google.com/maps/place/Service+Today+Plumber+Hoppers+Crossing/data=!4m7!3m6!1s0x2aa122c1e6b5432d:0xf607426520728766!8m2!3d-37.8462829!4d144.6906756!16s%2Fg%2F11xvcmkn03!19sChIJLUO15sEioSoRZodyIGVCB_Y?authuser=0&hl=en&rclk=1,4.9,22,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:23:57.346209,google_maps,"{""no_website"": true}"
MLBN maintenance plumbing,plumber,Werribee,,"
+61 493 319 323",,https://www.google.com/maps/place/MLBN+maintenance+plumbing/data=!4m7!3m6!1s0x82ac32d8b81cd68f:0x6253c0084eb12cdd!8m2!3d-37.9725665!4d144.9015889!16s%2Fg%2F11yrgyff31!19sChIJj9YcuNgyrIIR3SyxTgjAU2I?authuser=0&hl=en&rclk=1,5.0,160,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:23:57.346251,google_maps,"{""no_website"": true}"
Wyndham Vale Plumbing,plumber,Werribee,,"
+61 412 323 148",,https://www.google.com/maps/place/Wyndham+Vale+Plumbing/data=!4m7!3m6!1s0x6ad685a673e34c59:0x43f1b86f08939741!8m2!3d-37.9144709!4d144.6610708!16s%2Fg%2F1tgwb117!19sChIJWUzjc6aF1moRQZeTCG-48UM?authuser=0&hl=en&rclk=1,4.9,178,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:23:57.346267,google_maps,"{""no_website"": true}"
Double C Trade Group PTY LTD,plumber,Werribee,,"
+61 422 128 574",,https://www.google.com/maps/place/Double+C+Trade+Group+PTY+LTD/data=!4m7!3m6!1s0x41659eef0a0822b1:0xdc29f7a23305b174!8m2!3d-37.950559!4d145.3182996!16s%2Fg%2F11ywm6lqwk!19sChIJsSIICu-eZUERdLEFM6L3Kdw?authuser=0&hl=en&rclk=1,4.9,26,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:23:57.346286,google_maps,"{""no_website"": true}"
After Hours Plumbing Melbourne Pty Ltd,plumber,Werribee,,"
+61 432 183 537",,https://www.google.com/maps/place/After+Hours+Plumbing+Melbourne+Pty+Ltd/data=!4m7!3m6!1s0x6ad68547e8bcf01b:0xd5b8929bfbf7fdd8!8m2!3d-37.8997197!4d144.6642029!16s%2Fg%2F11hw9vnld4!19sChIJG_C86EeF1moR2P33-5uSuNU?authuser=0&hl=en&rclk=1,5.0,43,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:23:57.346293,google_maps,"{""no_website"": true}"
Total Plumbing Concepts,plumber,Werribee,,"
+61 425 823 111",,https://www.google.com/maps/place/Total+Plumbing+Concepts/data=!4m7!3m6!1s0x6ad6851846cc316f:0xdc5e9ed46c692902!8m2!3d-37.913761!4d144.6647002!16s%2Fg%2F1thq5fks!19sChIJbzHMRhiF1moRAilpbNSeXtw?authuser=0&hl=en&rclk=1,4.9,15,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:23:57.346300,google_maps,"{""no_website"": true}"
On Grade Plumbing & Drainage,plumber,Werribee,,"
+61 414 211 979",,https://www.google.com/maps/place/On+Grade+Plumbing+%26+Drainage/data=!4m7!3m6!1s0x463b108ce7ea51cb:0xefd4783999607405!8m2!3d-37.905425!4d144.7542154!16s%2Fg%2F11z2432cvs!19sChIJy1Hq54wQO0YRBXRgmTl41O8?authuser=0&hl=en&rclk=1,5.0,38,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:23:57.346307,google_maps,"{""no_website"": true}"
CityPro Plumbing,plumber,Werribee,,"
+61 415 481 774",,https://www.google.com/maps/place/CityPro+Plumbing/data=!4m7!3m6!1s0x6ad68f15685f4357:0x6baa739a49e5fba!8m2!3d-37.9260294!4d144.639873!16s%2Fg%2F11clsx11_n!19sChIJV0NfaBWP1moRul-epDmnugY?authuser=0&hl=en&rclk=1,5.0,649,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:23:57.346314,google_maps,"{""no_website"": true}"
Danzer's Plumbing & Gas Services,plumber,Werribee,,"
+61 401 496 570",,https://www.google.com/maps/place/Danzer%27s+Plumbing+%26+Gas+Services/data=!4m7!3m6!1s0x6ad68f34b291370f:0x3e4fd43e5975c6f3!8m2!3d-37.8670667!4d144.6972131!16s%2Fg%2F11ckr76mnx!19sChIJDzeRsjSP1moR88Z1WT7UTz4?authuser=0&hl=en&rclk=1,5.0,678,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:23:57.346327,google_maps,"{""no_website"": true}"
